InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
541939,tV924,HAPPEN CERTAIN NICE,11,2023-09-15 01:03:52,79.63,38956,United Kingdom,875.93
541939,pi443,LOSE ALMOST,15,2023-09-15 01:03:52,73.83,38956,United Kingdom,1107.45
541939,Bl015,ABOVE NEED,11,2023-09-15 01:03:52,9.39,38956,United Kingdom,103.29
555917,Xb947,CAMERA METHOD CATCH RIGHT,5,2023-11-19 02:20:18,73.57,10099,United Kingdom,367.84999999999997
555917,Om947,EXACTLY AS I,7,2023-11-19 02:20:18,71.2,10099,United Kingdom,498.40000000000003
555917,bO027,CALL THIS,7,2023-11-19 02:20:18,71.06,10099,United Kingdom,497.42
555917,Kb242,RECENT EFFORT CITY,13,2023-11-19 02:20:18,52.57,10099,United Kingdom,683.41
555917,vq339,FILL THOUGHT,9,2023-11-19 02:20:18,48.62,10099,United Kingdom,437.58
555917,GG010,MIDDLE EAT SUCCESS,13,2023-11-19 02:20:18,76.72,10099,United Kingdom,997.36
555917,ao279,MUSIC FOOD TECHNOLOGY,12,2023-11-19 02:20:18,61.68,10099,United Kingdom,740.16
555917,qC753,SELL FORM,13,2023-11-19 02:20:18,84.35,10099,United Kingdom,1096.55
516427,aA566,MISS FIND MUSIC,8,2023-04-30 19:36:41,53.5,18829,United Kingdom,428.0
593347,Qj550,WILL LOSS,5,2023-12-11 01:34:26,37.39,84649,Netherlands,186.95
593347,Yu014,ORGANIZATION BAR ONCE,11,2023-12-11 01:34:26,52.29,84649,Netherlands,575.1899999999999
593347,dR506,BABY WORK,7,2023-12-11 01:34:26,89.62,84649,Netherlands,627.34
519443,MI727,FEDERAL INDIVIDUAL,2,2023-04-27 07:21:45,21.2,89404,Germany,42.4
519443,Gy595,PEOPLE ANYONE,3,2023-04-27 07:21:45,66.52,89404,Germany,199.56
519443,yz510,PERSONAL FORM BEHAVIOR SOCIETY,8,2023-04-27 07:21:45,99.64,89404,Germany,797.12
519443,TV206,OCCUR MAJOR CLOSE,11,2023-04-27 07:21:45,16.09,89404,Germany,176.99
517084,oY179,MIGHT BELIEVE SHARE,2,2023-08-25 01:04:40,15.87,41130,United Kingdom,31.74
517084,EE266,TELL YOUNG LAW,18,2023-08-25 01:04:40,52.05,41130,United Kingdom,936.9
517084,Jn318,EVERYTHING RESEARCH,16,2023-08-25 01:04:40,80.35,41130,United Kingdom,1285.6
517084,Wh187,SCORE DISCUSS,12,2023-08-25 01:04:40,34.12,41130,United Kingdom,409.43999999999994
596445,ks731,MACHINE JUST GOAL,13,2023-07-18 14:05:26,17.63,94027,United Kingdom,229.19
596938,mM635,PRESIDENT,6,2023-11-19 15:06:02,2.2,86422,United Kingdom,13.200000000000001
596938,jp492,AGREE DATA,2,2023-11-19 15:06:02,8.05,86422,United Kingdom,16.1
596938,xF298,END GROUP CUSTOMER,15,2023-11-19 15:06:02,53.76,86422,United Kingdom,806.4
596938,yx756,FORWARD ONLY BACK,17,2023-11-19 15:06:02,59.07,86422,United Kingdom,1004.19
596938,dH343,GUESS VISIT,8,2023-11-19 15:06:02,80.79,86422,United Kingdom,646.32
596938,vR237,ENTER ARM SENIOR,5,2023-11-19 15:06:02,6.8,86422,United Kingdom,34.0
585636,tu669,FINANCIAL LOCAL AREA,18,2023-02-18 17:21:55,21.05,29413,United Kingdom,378.90000000000003
527888,UT604,MISSION HAPPY,18,2023-08-27 07:25:56,14.38,14382,United Kingdom,258.84000000000003
527888,ZZ393,DEMOCRAT SINCE,6,2023-08-27 07:25:56,42.0,14382,United Kingdom,252.0
527888,LT207,AGENT MOVIE,5,2023-08-27 07:25:56,7.83,14382,United Kingdom,39.15
C527888,Hw900,SECTION SISTER,-19,2023-08-27 07:25:56,46.36,14382,United Kingdom,-880.84
527888,hN310,POSITION DETERMINE,10,2023-08-27 07:25:56,72.87,14382,United Kingdom,728.7
527888,pi443,LOSE ALMOST,15,2023-08-27 07:25:56,73.83,14382,United Kingdom,1107.45
527888,BP496,DARK PATTERN HIS,10,2023-08-27 07:25:56,40.53,14382,United Kingdom,405.3
516396,VL539,LAW STUDY,6,2023-05-03 07:23:59,4.58,37381,Germany,27.48
C516396,RV877,BABY JUST,-3,2023-05-03 07:23:59,53.18,37381,Germany,-159.54
516396,hN310,POSITION DETERMINE,2,2023-05-03 07:23:59,72.87,37381,Germany,145.74
516396,dB239,DAUGHTER ROCK HEALTH,2,2023-05-03 07:23:59,92.79,37381,Germany,185.58
516396,nl404,CAN SERIOUS MEDIA PICTURE,13,2023-05-03 07:23:59,10.82,37381,Germany,140.66
516396,lM416,EVERYBODY WHILE,9,2023-05-03 07:23:59,36.86,37381,Germany,331.74
562505,Ru217,NATURE DAUGHTER,7,2023-11-11 23:42:46,55.25,38991,France,386.75
562505,Eq634,DEAL RESULT SON,13,2023-11-11 23:42:46,61.1,38991,France,794.3000000000001
562505,Ku056,PRESENT,13,2023-11-11 23:42:46,59.85,38991,France,778.0500000000001
562505,DI621,RESOURCE FORWARD,7,2023-11-11 23:42:46,36.18,38991,France,253.26
C562505,fc852,WIND CONSIDER I SUGGEST,-10,2023-11-11 23:42:46,3.39,38991,France,-33.9
503305,jB377,YOURSELF BOTH,5,2023-02-16 09:15:32,76.72,89404,Germany,383.6
503305,Nv632,FIVE ABOUT EXECUTIVE,2,2023-02-16 09:15:32,86.34,89404,Germany,172.68
503305,Xa941,ORDER WISH,15,2023-02-16 09:15:32,10.21,89404,Germany,153.15
503305,cV891,HOW NEARLY,16,2023-02-16 09:15:32,56.67,89404,Germany,906.72
503305,Yk082,ACROSS END TECHNOLOGY,19,2023-02-16 09:15:32,43.97,89404,Germany,835.43
503305,Om947,EXACTLY AS I,9,2023-02-16 09:15:32,71.2,89404,Germany,640.8000000000001
556918,jD140,GREAT CUP HAND WHO,19,2023-03-05 16:01:32,13.07,35716,United Kingdom,248.33
556918,gn799,THEY INDICATE,7,2023-03-05 16:01:32,89.32,35716,United Kingdom,625.24
556918,WE391,EACH FORGET CATCH,4,2023-03-05 16:01:32,42.95,35716,United Kingdom,171.8
556918,qk257,YEAR ACTUALLY TREAT,3,2023-03-05 16:01:32,14.21,35716,United Kingdom,42.63
556918,mE036,INTEREST MATERIAL,11,2023-03-05 16:01:32,24.23,35716,United Kingdom,266.53000000000003
556918,hf269,NATURE RULE,1,2023-03-05 16:01:32,66.37,35716,United Kingdom,66.37
544063,TY450,WITHIN IT COMMUNITY,7,2023-12-24 03:49:13,84.23,38233,United Kingdom,589.61
514108,rH686,SEND YES,4,2023-08-11 04:51:49,44.51,66536,United Kingdom,178.04
514108,tU269,HERE HOUSE,11,2023-08-11 04:51:49,58.66,66536,United Kingdom,645.26
510628,gT954,IMPROVE COACH YEAH,3,2023-04-21 10:20:01,62.77,55183,United Kingdom,188.31
542474,Kk560,STRONG EFFECT,1,2023-10-18 12:07:58,80.79,86839,United Kingdom,80.79
542474,xd995,DESIGN REMAIN,11,2023-10-18 12:07:58,64.08,86839,United Kingdom,704.88
C542474,xF298,END GROUP CUSTOMER,-6,2023-10-18 12:07:58,53.76,86839,United Kingdom,-322.56
542474,Lp768,ENVIRONMENTAL FIRM MUST,3,2023-10-18 12:07:58,18.57,86839,United Kingdom,55.71
542474,Gy595,PEOPLE ANYONE,19,2023-10-18 12:07:58,66.52,86839,United Kingdom,1263.8799999999999
542474,VG290,CONGRESS SUFFER NOTE,2,2023-10-18 12:07:58,65.1,86839,United Kingdom,130.2
542474,MC450,ITSELF WHICH WRONG,18,2023-10-18 12:07:58,18.93,86839,United Kingdom,340.74
522250,Ip103,TRADE PROBABLY HOW,9,2023-05-06 16:55:24,76.27,43221,United Kingdom,686.43
522250,Bx836,KITCHEN MAIN STILL,2,2023-05-06 16:55:24,10.46,43221,United Kingdom,20.92
522250,dR663,TRADITIONAL,2,2023-05-06 16:55:24,22.84,43221,United Kingdom,45.68
522250,FT022,SELL CURRENT RECORD,6,2023-05-06 16:55:24,77.16,43221,United Kingdom,462.96
522250,FT022,SELL CURRENT RECORD,10,2023-05-06 16:55:24,77.16,43221,United Kingdom,771.5999999999999
585250,az294,BETTER LARGE GOAL,17,2023-04-24 08:50:19,63.68,61287,United Kingdom,1082.56
585250,va694,ORDER LOW ITS SERIES,15,2023-04-24 08:50:19,97.59,61287,United Kingdom,1463.8500000000001
585250,ZZ393,DEMOCRAT SINCE,6,2023-04-24 08:50:19,42.0,61287,United Kingdom,252.0
585250,TY245,CONSIDER QUESTION PASS,16,2023-04-24 08:50:19,31.42,61287,United Kingdom,502.72
530568,Qk477,NEED EAST,13,2023-06-26 07:47:16,95.19,64398,United Kingdom,1237.47
530568,GV015,SINCE,6,2023-06-26 07:47:16,51.08,64398,United Kingdom,306.48
530568,dS785,WORLD CUP,12,2023-06-26 07:47:16,34.09,64398,United Kingdom,409.08000000000004
530568,Ut036,MUSIC FATHER,8,2023-06-26 07:47:16,9.48,64398,United Kingdom,75.84
530568,IR661,REMAIN HOSPITAL,5,2023-06-26 07:47:16,61.91,64398,United Kingdom,309.54999999999995
536320,VZ695,SMILE BUT BEYOND,16,2023-09-11 05:45:50,45.53,55186,United Kingdom,728.48
579478,Af171,UP COUPLE,16,2023-09-16 07:05:23,51.43,18926,United Kingdom,822.88
579478,eP302,SEASON GO ANSWER WANT,11,2023-09-16 07:05:23,50.33,18926,United Kingdom,553.63
579478,Iy858,FAR EXPLAIN SUCH,2,2023-09-16 07:05:23,26.42,18926,United Kingdom,52.84
579478,gT797,WAY BANK EASY,6,2023-09-16 07:05:23,69.13,18926,United Kingdom,414.78
579478,Cm047,SOON BUILDING,6,2023-09-16 07:05:23,95.7,18926,United Kingdom,574.2
579478,oU872,EVENING,14,2023-09-16 07:05:23,46.69,18926,United Kingdom,653.66
579478,iT222,MIND VOICE NO,11,2023-09-16 07:05:23,14.51,18926,United Kingdom,159.60999999999999
579478,Wa449,HOPE PAY MANAGEMENT,8,2023-09-16 07:05:23,2.9,18926,United Kingdom,23.2
576538,AW869,SUFFER NOT,7,2023-09-21 15:14:40,31.82,63818,United Kingdom,222.74
576538,VG981,WRITE HOLD,6,2023-09-21 15:14:40,48.44,63818,United Kingdom,290.64
576538,mE036,INTEREST MATERIAL,8,2023-09-21 15:14:40,24.23,63818,United Kingdom,193.84
576538,KD109,SERVE IF TAX,19,2023-09-21 15:14:40,1.52,63818,United Kingdom,28.88
576538,vX110,DIFFICULT BOOK TOP,8,2023-09-21 15:14:40,6.72,63818,United Kingdom,53.76
524773,KD109,SERVE IF TAX,16,2023-02-27 12:18:53,1.52,80919,United Kingdom,24.32
524773,BK762,FULL,9,2023-02-27 12:18:53,17.32,80919,United Kingdom,155.88
557050,mi215,OFFER DEBATE,16,2023-09-28 13:32:13,65.44,80668,United Kingdom,1047.04
557050,vA740,BUILD INDEED ENVIRONMENTAL,4,2023-09-28 13:32:13,71.92,80668,United Kingdom,287.68
557050,Pm124,PRACTICE ALL,13,2023-09-28 13:32:13,61.42,80668,United Kingdom,798.46
557050,kz874,AUTHORITY EFFECT PHONE,5,2023-09-28 13:32:13,54.38,80668,United Kingdom,271.90000000000003
557050,IA716,EACH TO DEVELOP PHYSICAL,7,2023-09-28 13:32:13,42.2,80668,United Kingdom,295.40000000000003
557050,Fi041,MRS MOMENT,9,2023-09-28 13:32:13,27.71,80668,United Kingdom,249.39000000000001
572013,iu941,WIDE,16,2023-08-20 13:53:19,45.98,42125,United Kingdom,735.68
572013,OS807,HIM UNDERSTAND,6,2023-08-20 13:53:19,58.26,42125,United Kingdom,349.56
572013,By469,DIRECTION DISCOVER,14,2023-08-20 13:53:19,41.94,42125,United Kingdom,587.16
572013,oj333,SINCE FAMILY TEN LOCAL,1,2023-08-20 13:53:19,47.06,42125,United Kingdom,47.06
572013,Hw900,SECTION SISTER,9,2023-08-20 13:53:19,46.36,42125,United Kingdom,417.24
572013,Ke388,CIVIL SCIENCE,13,2023-08-20 13:53:19,20.89,42125,United Kingdom,271.57
565523,hH157,LOSE SCENE,17,2023-03-31 04:59:08,11.58,66722,United Kingdom,196.86
565523,jp492,AGREE DATA,11,2023-03-31 04:59:08,8.05,66722,United Kingdom,88.55000000000001
565523,EE266,TELL YOUNG LAW,8,2023-03-31 04:59:08,52.05,66722,United Kingdom,416.4
595582,KT770,CENTURY MOVEMENT,10,2023-08-03 20:03:53,5.27,85751,United Kingdom,52.699999999999996
595582,mE036,INTEREST MATERIAL,4,2023-08-03 20:03:53,24.23,85751,United Kingdom,96.92
595582,ao279,MUSIC FOOD TECHNOLOGY,9,2023-08-03 20:03:53,61.68,85751,United Kingdom,555.12
595582,Nx431,WINDOW ARTIST RISK,14,2023-08-03 20:03:53,13.94,85751,United Kingdom,195.16
595582,Sw217,IDENTIFY BIG,2,2023-08-03 20:03:53,16.85,85751,United Kingdom,33.7
595582,ts570,MR,9,2023-08-03 20:03:53,38.64,85751,United Kingdom,347.76
595582,KU091,NEARLY GIVE,1,2023-08-03 20:03:53,7.6,85751,United Kingdom,7.6
555682,wO566,CHARGE BREAK ABLE,3,2023-03-28 21:27:05,54.46,93908,United Kingdom,163.38
555682,Bx836,KITCHEN MAIN STILL,6,2023-03-28 21:27:05,10.46,93908,United Kingdom,62.760000000000005
555682,dR663,TRADITIONAL,6,2023-03-28 21:27:05,22.84,93908,United Kingdom,137.04
555682,HE223,ANY GROWTH,2,2023-03-28 21:27:05,69.31,93908,United Kingdom,138.62
569987,HG911,WALL SIMILAR INDIVIDUAL,2,2023-11-10 21:55:29,77.87,43093,United Kingdom,155.74
569987,JF850,TREATMENT CHOOSE,12,2023-11-10 21:55:29,37.46,43093,United Kingdom,449.52
569987,ts570,MR,5,2023-11-10 21:55:29,38.64,43093,United Kingdom,193.2
569987,xd995,DESIGN REMAIN,7,2023-11-10 21:55:29,64.08,43093,United Kingdom,448.56
569987,UT974,APPLY PURPOSE TRADE TRAVEL,16,2023-11-10 21:55:29,23.24,43093,United Kingdom,371.84
569987,Yk082,ACROSS END TECHNOLOGY,1,2023-11-10 21:55:29,43.97,43093,United Kingdom,43.97
569987,MB495,RECEIVE SOUND,1,2023-11-10 21:55:29,90.1,43093,United Kingdom,90.1
577212,Bw123,PAINTING RATHER BUILDING,13,2023-07-28 15:34:18,55.12,75414,United Kingdom,716.56
550656,BK762,FULL,11,2023-04-15 20:24:34,17.32,55156,United Kingdom,190.52
550656,CA344,SAME DARK,12,2023-04-15 20:24:34,81.78,55156,United Kingdom,981.36
550656,mE036,INTEREST MATERIAL,13,2023-04-15 20:24:34,24.23,55156,United Kingdom,314.99
550656,fe107,IMAGE VISIT SUFFER,13,2023-04-15 20:24:34,10.57,55156,United Kingdom,137.41
550656,et895,ACCEPT,1,2023-04-15 20:24:34,60.75,55156,United Kingdom,60.75
550656,Ie347,FAR CIVIL,10,2023-04-15 20:24:34,64.75,55156,United Kingdom,647.5
550656,gF353,ALLOW PER NATION,3,2023-04-15 20:24:34,84.36,55156,United Kingdom,253.07999999999998
569677,ON922,FIGURE PARTICULARLY SORT,16,2023-01-24 10:57:31,67.09,51670,Germany,1073.44
569677,dB239,DAUGHTER ROCK HEALTH,8,2023-01-24 10:57:31,92.79,51670,Germany,742.32
569677,Af171,UP COUPLE,16,2023-01-24 10:57:31,51.43,51670,Germany,822.88
569677,Mr259,IMAGE ISSUE HEAR,17,2023-01-24 10:57:31,98.38,51670,Germany,1672.46
594893,RR718,STYLE LARGE ECONOMY,2,2023-08-31 18:33:50,48.81,30722,United Kingdom,97.62
594893,PZ822,MY EXIST,11,2023-08-31 18:33:50,84.14,30722,United Kingdom,925.54
594893,yM946,NO WHITE,1,2023-08-31 18:33:50,25.1,30722,United Kingdom,25.1
594893,jp492,AGREE DATA,15,2023-08-31 18:33:50,8.05,30722,United Kingdom,120.75000000000001
594893,kh125,RECORD STATEMENT FIRM,19,2023-08-31 18:33:50,15.08,30722,United Kingdom,286.52
594893,xY457,MYSELF,4,2023-08-31 18:33:50,31.25,30722,United Kingdom,125.0
594893,Id261,EVERYTHING LOSS,11,2023-08-31 18:33:50,43.54,30722,United Kingdom,478.94
594893,vR237,ENTER ARM SENIOR,5,2023-08-31 18:33:50,6.8,30722,United Kingdom,34.0
594893,fo355,ADMINISTRATION INSTITUTION APPROACH,3,2023-08-31 18:33:50,82.43,30722,United Kingdom,247.29000000000002
509083,HM199,POLITICAL NATIONAL ESTABLISH WAR,7,2023-03-16 15:03:45,82.1,76274,France,574.6999999999999
509083,ku663,WANT SPECIAL PLAYER,9,2023-03-16 15:03:45,64.03,76274,France,576.27
524705,oE265,MONTH REAL SMILE,7,2023-06-27 22:31:50,77.15,42524,United Kingdom,540.0500000000001
524705,Yu014,ORGANIZATION BAR ONCE,3,2023-06-27 22:31:50,52.29,42524,United Kingdom,156.87
524705,qv800,CHILD AFFECT,12,2023-06-27 22:31:50,78.7,42524,United Kingdom,944.4000000000001
524705,DD609,I CONDITION YARD SOURCE,7,2023-06-27 22:31:50,15.74,42524,United Kingdom,110.18
524705,dR663,TRADITIONAL,17,2023-06-27 22:31:50,22.84,42524,United Kingdom,388.28
524705,df930,TELEVISION INDEED,1,2023-06-27 22:31:50,99.13,42524,United Kingdom,99.13
524705,TK629,AGAINST PERFORM MOVEMENT,5,2023-06-27 22:31:50,38.68,42524,United Kingdom,193.4
510577,JU981,MOST THIRD,9,2023-06-25 08:58:54,44.5,85524,United Kingdom,400.5
510577,Un839,USE ALMOST BEAT,7,2023-06-25 08:58:54,72.49,85524,United Kingdom,507.42999999999995
593158,ZS573,PREVENT PROBABLY BLACK,4,2023-05-12 17:08:35,73.12,64040,United Kingdom,292.48
593158,Sf869,TEACHER SIMPLY AROUND,13,2023-05-12 17:08:35,44.58,64040,United Kingdom,579.54
518409,Kk027,TRIP EFFECT,3,2023-01-01 05:27:23,23.44,74971,United Kingdom,70.32000000000001
518409,IO586,PROCESS YET,16,2023-01-01 05:27:23,88.77,74971,United Kingdom,1420.32
518409,Tj841,COUNTRY,4,2023-01-01 05:27:23,69.87,74971,United Kingdom,279.48
518409,Ez678,READY ONLY,16,2023-01-01 05:27:23,99.42,74971,United Kingdom,1590.72
518409,gE452,PRESENT SYSTEM,19,2023-01-01 05:27:23,34.49,74971,United Kingdom,655.3100000000001
518409,Ne387,PEOPLE THEY ATTORNEY,1,2023-01-01 05:27:23,12.52,74971,United Kingdom,12.52
518409,jD140,GREAT CUP HAND WHO,5,2023-01-01 05:27:23,13.07,74971,United Kingdom,65.35
518409,Kb242,RECENT EFFORT CITY,19,2023-01-01 05:27:23,52.57,74971,United Kingdom,998.83
530165,AV598,DOCTOR,5,2023-01-22 05:36:23,20.55,67262,France,102.75
530165,yC973,SMILE THEIR,4,2023-01-22 05:36:23,78.9,67262,France,315.6
530165,yP975,CONDITION HAND,4,2023-01-22 05:36:23,20.38,67262,France,81.52
530165,Cm047,SOON BUILDING,4,2023-01-22 05:36:23,95.7,67262,France,382.8
574023,mE036,INTEREST MATERIAL,18,2023-10-19 03:02:11,24.23,20141,United Kingdom,436.14
574023,bj297,ABLE FORWARD STRATEGY,18,2023-10-19 03:02:11,77.69,20141,United Kingdom,1398.42
574023,TY450,WITHIN IT COMMUNITY,16,2023-10-19 03:02:11,84.23,20141,United Kingdom,1347.68
574023,UW751,DEBATE WIFE,9,2023-10-19 03:02:11,11.0,20141,United Kingdom,99.0
574023,lj404,AGAINST,18,2023-10-19 03:02:11,84.59,20141,United Kingdom,1522.6200000000001
552797,yM065,APPLY TOTAL NICE,12,2023-01-22 00:17:24,8.86,55183,United Kingdom,106.32
552797,Lp768,ENVIRONMENTAL FIRM MUST,7,2023-01-22 00:17:24,18.57,55183,United Kingdom,129.99
552797,xg828,TRADITIONAL DAUGHTER EXAMPLE SERIOUS,15,2023-01-22 00:17:24,74.0,55183,United Kingdom,1110.0
552797,kP052,EAST ITEM,7,2023-01-22 00:17:24,32.23,55183,United Kingdom,225.60999999999999
501804,CX363,SOCIETY REALITY TASK,17,2023-10-12 05:55:01,51.33,52871,United Kingdom,872.61
501804,st291,TV SEVERAL,16,2023-10-12 05:55:01,92.35,52871,United Kingdom,1477.6
501804,Nv042,TURN MODERN,19,2023-10-12 05:55:01,8.98,52871,United Kingdom,170.62
501804,WC097,SEEK SEEK RECENT,9,2023-10-12 05:55:01,81.93,52871,United Kingdom,737.3700000000001
501804,UT974,APPLY PURPOSE TRADE TRAVEL,14,2023-10-12 05:55:01,23.24,52871,United Kingdom,325.35999999999996
537573,CZ492,WESTERN,16,2023-02-18 13:40:52,36.65,73813,Netherlands,586.4
537573,rU494,EYE MAYBE PRODUCT,14,2023-02-18 13:40:52,43.78,73813,Netherlands,612.9200000000001
568387,Ov366,FULL EVERYONE,7,2023-02-28 15:53:04,31.01,49080,United Kingdom,217.07000000000002
568387,Ut036,MUSIC FATHER,15,2023-02-28 15:53:04,9.48,49080,United Kingdom,142.20000000000002
568387,kA004,STAFF ROLE,19,2023-02-28 15:53:04,80.46,49080,United Kingdom,1528.7399999999998
583963,pY816,POLITICAL BELIEVE SEEM,19,2023-01-02 04:45:38,72.04,58440,United Kingdom,1368.7600000000002
583963,km183,CONFERENCE EAT,5,2023-01-02 04:45:38,9.68,58440,United Kingdom,48.4
C583963,yt598,RECORD AGAINST SEE,-18,2023-01-02 04:45:38,59.23,58440,United Kingdom,-1066.1399999999999
583963,Zm992,LAWYER SINGLE,16,2023-01-02 04:45:38,13.64,58440,United Kingdom,218.24
583963,Ss553,STATION NOTHING,4,2023-01-02 04:45:38,76.34,58440,United Kingdom,305.36
583963,Ku276,ARTIST LIST,12,2023-01-02 04:45:38,65.99,58440,United Kingdom,791.8799999999999
583963,Af171,UP COUPLE,7,2023-01-02 04:45:38,51.43,58440,United Kingdom,360.01
583963,wO566,CHARGE BREAK ABLE,14,2023-01-02 04:45:38,54.46,58440,United Kingdom,762.44
583963,xr276,PULL GOOD,12,2023-01-02 04:45:38,95.85,58440,United Kingdom,1150.1999999999998
536998,GD095,EAT,5,2023-11-01 16:52:32,26.4,21600,United Kingdom,132.0
528009,oE265,MONTH REAL SMILE,17,2023-10-28 16:01:45,77.15,98728,United Kingdom,1311.5500000000002
528009,cV919,PRODUCE,1,2023-10-28 16:01:45,41.85,98728,United Kingdom,41.85
528009,oj333,SINCE FAMILY TEN LOCAL,4,2023-10-28 16:01:45,47.06,98728,United Kingdom,188.24
528009,Hl266,SITUATION BUDGET,4,2023-10-28 16:01:45,67.28,98728,United Kingdom,269.12
528009,Bx116,NEWS ESPECIALLY,18,2023-10-28 16:01:45,10.48,98728,United Kingdom,188.64000000000001
528009,HE223,ANY GROWTH,9,2023-10-28 16:01:45,69.31,98728,United Kingdom,623.79
528009,OC821,PERSON WORD,18,2023-10-28 16:01:45,27.24,98728,United Kingdom,490.32
528009,Hy353,BILL,14,2023-10-28 16:01:45,68.43,98728,United Kingdom,958.0200000000001
528009,pi443,LOSE ALMOST,15,2023-10-28 16:01:45,73.83,98728,United Kingdom,1107.45
546608,Rt078,BUDGET,18,2023-04-30 13:50:33,75.75,80076,United Kingdom,1363.5
546608,rH686,SEND YES,18,2023-04-30 13:50:33,44.51,80076,United Kingdom,801.18
546608,Ku276,ARTIST LIST,17,2023-04-30 13:50:33,65.99,80076,United Kingdom,1121.83
546608,Yl707,WITH WITH NECESSARY,12,2023-04-30 13:50:33,42.7,80076,United Kingdom,512.4000000000001
544263,Kd931,BE OFFICER WITHOUT,19,2023-08-19 18:24:15,23.58,79321,United Kingdom,448.02
544263,xF298,END GROUP CUSTOMER,18,2023-08-19 18:24:15,53.76,79321,United Kingdom,967.68
544263,EX514,PARTNER ACCORDING,10,2023-08-19 18:24:15,76.79,79321,United Kingdom,767.9000000000001
581534,VQ139,WELL APPEAR AGENCY,16,2023-11-16 07:13:48,3.59,40600,United Kingdom,57.44
581534,JR660,WIND FACT,6,2023-11-16 07:13:48,43.18,40600,United Kingdom,259.08
516049,EO415,ROLE MOST,5,2023-07-15 11:37:26,78.72,40600,United Kingdom,393.6
559839,pp149,SPECIAL KITCHEN,12,2023-01-08 08:11:23,73.07,14382,United Kingdom,876.8399999999999
559839,Af171,UP COUPLE,5,2023-01-08 08:11:23,51.43,14382,United Kingdom,257.15
583847,Dq115,DIRECTION LATER,10,2023-03-10 10:23:40,11.86,55863,United Kingdom,118.6
583847,Yv384,BOTH AMONG,1,2023-03-10 10:23:40,57.62,55863,United Kingdom,57.62
583847,oA062,WIN TAKE VOICE,3,2023-03-10 10:23:40,78.78,55863,United Kingdom,236.34
583847,dS785,WORLD CUP,18,2023-03-10 10:23:40,34.09,55863,United Kingdom,613.6200000000001
583847,st850,PULL FAMILY ACT,12,2023-03-10 10:23:40,66.83,55863,United Kingdom,801.96
583847,Hj768,ACTUALLY FAMILY NONE,3,2023-03-10 10:23:40,58.42,55863,United Kingdom,175.26
583847,NP415,REPRESENT STILL,9,2023-03-10 10:23:40,80.21,55863,United Kingdom,721.89
583847,Ip103,TRADE PROBABLY HOW,2,2023-03-10 10:23:40,76.27,55863,United Kingdom,152.54
583847,eu228,FORM TRIAL,3,2023-03-10 10:23:40,54.46,55863,United Kingdom,163.38
527079,oj333,SINCE FAMILY TEN LOCAL,12,2023-03-09 12:25:22,47.06,15956,United Kingdom,564.72
527079,dB540,EVERYONE,3,2023-03-09 12:25:22,50.2,15956,United Kingdom,150.60000000000002
527079,hH157,LOSE SCENE,9,2023-03-09 12:25:22,11.58,15956,United Kingdom,104.22
527079,hp909,ELECTION,2,2023-03-09 12:25:22,56.22,15956,United Kingdom,112.44
